user_id,text,business_id,likes,date
zcTZk7OG8ovAmh_fenH21g,Get here early enough to have dinner.,tJRDll5yqpZwehenzE2cSg,0,2012-07-15
M5n8mMFoeXjnJEV2gxyGGA,Don't use them! Double charged my boyfriend and then would not respond afterwards!,2ThtBbeDqFkVi6LugUOcVA,0,2012-11-25
ZcLKXikTHYOnYt5VYRO5sg,Great breakfast large portions and friendly waitress. I highly recommend it,jH19V2I9fIslnNhDzPmdkA,0,2015-08-12
oaYhjqBbh18ZhU0bpyzSuw,Nice place. Great staff.  A fixture in the township forever,dAa0hB2yrnHzVmsCkN4YvQ,0,2014-06-20
ulQ8Nyj7jCUR8M83SUMoRQ,Happy hour 5-7 Monday - Friday,dAa0hB2yrnHzVmsCkN4YvQ,0,2016-10-12
ulQ8Nyj7jCUR8M83SUMoRQ,"Parking is a premium, keep circling, you will eventually find a great spot",ESzO3Av0b1_TzKOiqzbQYQ,0,2017-01-28
ulQ8Nyj7jCUR8M83SUMoRQ,Homemade pasta is the best in the area,k7WRPbDd7rztjHcGGkEjlw,0,2017-02-25
ulQ8Nyj7jCUR8M83SUMoRQ,"Excellent service, staff is dressed professionally, polite, mannered, and well trained",k7WRPbDd7rztjHcGGkEjlw,0,2017-04-08
ulQ8Nyj7jCUR8M83SUMoRQ,Come early on Sunday's to avoid the rush,SqW3igh1_Png336VIb5DUA,0,2016-07-03
ulQ8Nyj7jCUR8M83SUMoRQ,Love their soup!,KNpcPGqDORDdvtekXd348w,0,2016-01-07
ulQ8Nyj7jCUR8M83SUMoRQ,Soups are fantastic!,KNpcPGqDORDdvtekXd348w,0,2016-05-22
ulQ8Nyj7jCUR8M83SUMoRQ,Thursday night is $5 burger night,KNpcPGqDORDdvtekXd348w,0,2016-06-09
ulQ8Nyj7jCUR8M83SUMoRQ,"Very good for lunch, bread and soup are excellent",8qNOI6Q1-rJrvWWD5Btz6w,0,2016-06-01
ulQ8Nyj7jCUR8M83SUMoRQ,Tuesday spaghetti special  all day $5.59 includes soup or salad and bread,8qNOI6Q1-rJrvWWD5Btz6w,0,2016-06-14
ulQ8Nyj7jCUR8M83SUMoRQ,"If you're in a hurry be prepared to WAIT...this is one of the slowest ""fast food"" restaurants around.",A73Dp0lo9s_Ci9NFDqbhqw,0,2018-06-27
ulQ8Nyj7jCUR8M83SUMoRQ,"Sunday $.55 bone-in wings
Monday $.55 boneless wings",--ujyvoQlwVoBgMYtADiLA,0,2016-08-22
ulQ8Nyj7jCUR8M83SUMoRQ,There isn't a bad seat in the house!,FCUVjQf762no86Uzcbv1Tg,0,2017-01-21
ulQ8Nyj7jCUR8M83SUMoRQ,Nice happy hour m-f 5-7pm and th-fr 10pm-12am,Tl_jT2a0bRMac5_YW65GPg,0,2016-06-13
ulQ8Nyj7jCUR8M83SUMoRQ,"Always have something new on the inter menu, love trying new things here :)",Tl_jT2a0bRMac5_YW65GPg,0,2016-06-30
